編號,基金會名稱,郵遞區號,住址,董事長,目的,許可日期,文號,原始設立基金,目前基金總額,連絡電話,聯絡人,FAX,郵遞區號,聯絡地址,備註
1,財團法人中國主計協進社,100,臺北市中正區博愛路216號1樓,石素梅,主計學術之研究發展、書刊之編譯發行、主計人員進修訓練之輔助、主計業務之協進發展與其他符合本社設立宗旨之相關公益性教育事務。,1962-05-03,臺(51)高3888號,600000,30000000,(02)2380-3849,王禎鈺,(02)2380-3843,100,臺北市中正區博愛路216號1樓,
2,財團法人國防管理學院校友文教基金會,110,臺北市信義區松德路171號2樓之3,葉潛昭,以倡導管理科學之學術研究與發展，提昇企管、會計、統計、資訊、法律等之教育品質，帶動學術研究之風氣，增進教育之效果為宗旨。,1989-12-28,臺(78)社64197號,1100000,7000000,(02)2898-5910,范從良,(02)2891-7348,112,臺北市北投區中央北路2段70號,
3,財團法人中華民國中山學術文化基金會,106,臺北市大安區永康街13巷23號,許水德,以獎助及發揚有關國父思想之學術及文化事業為宗旨。,1966-04-26,臺(55)高3662號,65000000,150670000,(02)2321-8754,林美麗,(02)2321-8754,106,臺北市大安區永康街13巷25號1樓,
4,財團法人陳誠文教基金會,106,臺北市大安區忠孝東路4段59號7樓之1,陳履安,以獎助清寒優秀青年深造，協助興辦學校及文化事業，發揚固有文化，促進國際交流為宗旨。,1968-04-29,臺(57)高11199號,24200000,24200000,(02)2269-6059,陳台孟,(02)2269-40,236,臺北市大安區忠孝東路4段59號7樓之1,
5,財團法人亨德先生獎學基金會,100,臺北市中正區南海路37號,池雙慶,以獎助及培育大專院校畜牧獸醫學生為目的。,1968-08-08,臺(57)高19038號,314860,440277,(02)2312-5827,吳鑫宏,(02)2388-9225,100,臺北市中正區南海路37號,
8,財團法人中華民國企業界紀念張心洽先生學術基金會,106,臺北市大安區敦化南路1段263號13樓,張孝威,為紀念張心洽先生設立，以促進經濟發展、社會安定為宗旨。,1972-09-07,臺(61)高21461號,1200000,16000000,(02)6636-6979,陳晶瑩,(02)6636-9889,110,臺北市八德路3段34號8樓,
9,財團法人馬君武博士獎學金基金會,100,臺北市中正區南海路37號,李金龍,為紀念已故開國元勳、廣西大學校長馬君武博士勛績德業暨畢生致力推動教育之理念，以推動高等、中級及初級教育、偏遠地區教育、人才培育為宗旨。,1973-01-30,臺(62)高2846號,500000,1235781,(02)2312-6026,陳君如,(02)2357-0679,100,臺北市潮州街2號,
10,財團法人功學社學術獎助基金會,100,臺北市中正區博愛路115號,謝明賢,以獎學暨獎助音樂學術研究、提高音樂水準、宏揚中華文化為宗旨。,1973-04-03,臺(62)高8237號,5000000,16757819,(02)2282-5151#7135,許寶仁,(02)2704-5524,106,臺北市大安區復興南路1段322號10樓,
12,財團法人孫哲生先生學術基金會,106,臺北市大安區仁愛路3段29號9樓之1,林基源,以獎助學術、文化、教育事業為目的。,1971-04-30,臺(60)高10047號,3000000,7200000,(02)8771-9975,林小姐,(02)2736-5578,106,臺北市大安區仁愛路3段29號9樓之1,
13,財團法人世界道德重整運動中華民國聯誼會基金會,100,臺北市中正區濟南路2段23號6樓,胡兆揚,以推展道德重整運動，宏揚中華文化為宗旨。,1973-10-05,臺(62)高25422號,922868,922868,(02)5553-5526,徐牧柔,(02)5553-5501,105,臺北市松山區光復北路11巷46號3樓,
14,財團法人TDK文教基金會,105,臺北市松山區敦化北路260號6樓,陳灴全,為致力於造就有為人才服務社會，以貢獻中華民國文化與產業之發展。,1973-10-11,臺(62)高25981號,4500000,100121200,(02)2789-1117,闕欣怡,(02)2789-1118,115,臺北市南港區三重路66號7樓,
15,財團法人竹銘教學基金會,300,新竹市東區大學路1001號,邱羅火,以補助國立交通大學之教學經費，增進教師之研修與深造機會為目的。,1973-10-18,臺(62)高26564號,2000000,24844732,(03)573-4558,陳羽瑄,(03)572-1497,300,新竹市東區大學路1001號,原「國立交通大學同學會教學基金會」
16,財團法人魏火曜兒科研究基金會,100,臺北市中正區常德街1號,陳炯霖,捐助小兒科學有關之研究。,1974-04-17,臺(63)高9726號,517591,2475524,(02)2356-2124,孫梅芳,(02)2393-4749,100,臺北市中正區中山南路7號台大醫院小兒科研究室,
